LULC,HRU,year,surfaceQ,lateralQ,NSURQ,NLATQ,Yield_tonperha,TileQ,TileNO3
OYB,185,18.0,12.658,1.936,0.184,0.121,6.742999999999999,319.0,21.1
OYB,186,18.0,12.625,4.453,0.183,0.273,6.735,317.0,21.0
ORN,187,18.0,12.594000000000001,1.986,0.184,0.149,6.9879999999999995,321.0,24.1
OYB,188,18.0,11.640999999999998,291.435,0.165,8.96,6.582999999999999,0.0,0.0
OYB,189,18.0,12.498,300.834,0.158,9.135,6.471,0.0,0.0
ORN,190,18.0,12.587,1.6580000000000001,0.184,0.125,6.99,321.0,24.1
OYB,191,18.0,12.61,4.454,0.183,0.273,6.735,317.0,21.0
OYB,192,18.0,12.633,1.9369999999999998,0.184,0.121,6.742999999999999,319.0,21.1
OYB,193,18.0,14.884,1.324,0.191,0.065,6.61,326.0,18.4
OYB,194,18.0,14.009,86.945,0.177,2.73,6.4479999999999995,0.0,0.0
OYB,195,18.0,14.855,3.068,0.19,0.15,6.607,324.0,18.3
ORN,196,18.0,12.591,1.6580000000000001,0.184,0.125,6.99,321.0,24.1
OYB,197,18.0,12.615,4.143,0.183,0.255,6.736000000000001,317.0,21.0
OYB,198,18.0,12.64,1.936,0.184,0.121,6.742999999999999,319.0,21.1
OYB,199,18.0,14.302,24.409000000000002,0.18100000000000002,0.7709999999999999,6.436,0.0,0.0
OYB,200,18.0,14.855,3.284,0.19,0.16,6.607,324.0,18.3
ORN,201,18.0,13.525,278.147,0.18,10.135,6.58,0.0,0.0
OYB,202,18.0,12.08,1.943,0.166,0.124,6.735,320.0,21.1
OYB,203,18.0,12.050999999999998,4.468999999999999,0.166,0.28,6.727,317.0,21.1
ORN,204,18.0,12.592,1.986,0.184,0.149,6.9879999999999995,321.0,24.1
ORN,205,18.0,12.573,4.564,0.183,0.33799999999999997,6.977,318.0,24.1
OYB,206,18.0,12.048,4.468999999999999,0.166,0.28,6.727,317.0,21.1
OYB,207,18.0,12.072000000000001,1.943,0.166,0.124,6.735,320.0,21.1
OYB,208,18.0,10.414000000000001,9.652000000000001,0.14800000000000002,0.8029999999999999,6.852,308.0,17.6
OYB,209,18.0,10.440999999999999,4.021,0.149,0.349,6.876,313.0,17.7
ORN,210,18.0,12.59,1.6580000000000001,0.184,0.125,6.99,321.0,24.1
OYB,211,18.0,12.048,4.468999999999999,0.166,0.28,6.727,317.0,21.1
OYB,212,18.0,12.075999999999999,1.943,0.166,0.124,6.735,320.0,21.1
ORN,213,18.0,14.134,196.125,0.187,7.199,6.559,0.0,0.0
OYB,214,18.0,12.675999999999998,1.6159999999999999,0.184,0.10099999999999999,6.744,320.0,21.1
ORN,215,18.0,12.457,4.513999999999999,0.184,0.33799999999999997,6.962999999999999,318.0,24.2
ORN,216,18.0,12.466,2.287,0.184,0.17300000000000001,6.974,321.0,24.3
OYB,217,18.0,12.672,1.6159999999999999,0.184,0.10099999999999999,6.744,320.0,21.1
ORN,218,18.0,11.194,4.558,0.159,0.307,6.949,311.0,23.3
ORN,219,18.0,11.2,1.984,0.159,0.136,6.96,314.0,23.3
OYB,220,18.0,12.634,4.453,0.183,0.273,6.735,317.0,21.0
OYB,221,18.0,12.665,1.936,0.184,0.121,6.742999999999999,319.0,21.1
ORN,222,18.0,17.67,11.404000000000002,0.23,0.55,7.249,0.0,0.0
OYB,223,18.0,14.870999999999999,1.3159999999999998,0.192,0.065,6.597,326.0,18.4
OYB,224,18.0,14.843,3.051,0.191,0.149,6.593999999999999,324.0,18.4
OYB,225,18.0,14.305,17.451,0.18100000000000002,0.552,6.421,0.0,0.0
ORN,226,18.0,12.460999999999999,4.513,0.184,0.33799999999999997,6.962999999999999,318.0,24.2
ORN,227,18.0,12.474,1.964,0.184,0.149,6.975,321.0,24.3
OYB,228,18.0,12.059000000000001,1.943,0.166,0.124,6.735,320.0,21.1
OYB,229,18.0,12.039000000000001,4.468999999999999,0.166,0.28,6.727,317.0,21.1
ORN,230,18.0,12.482000000000001,1.64,0.184,0.125,6.977,321.0,24.3
OYB,231,18.0,12.100999999999999,1.943,0.16699999999999998,0.124,6.736000000000001,320.0,21.1
OYB,232,18.0,12.065,4.47,0.166,0.27899999999999997,6.728,317.0,21.1
